source,data,ts
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:47:07.564992""}",2026-08-08T02:47:07.584277
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.6, ""ts"": ""2026-08-08T02:47:07.564992""}",2026-08-08T02:47:07.591699
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:47:12.568504""}",2026-08-08T02:47:12.568504
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:47:12.568504""}",2026-08-08T02:47:12.584116
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 332.72, ""energy_wh_delta"": 0.00046, ""ts"": ""2026-08-08T02:47:12.568504""}",2026-08-08T02:47:12.599737
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -50.8, ""ts"": ""2026-08-08T02:47:12.568504""}",2026-08-08T02:47:12.607249
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:47:17.581383""}",2026-08-08T02:47:17.583402
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 438.5, ""energy_wh_delta"": 0.00061, ""ts"": ""2026-08-08T02:47:17.583402""}",2026-08-08T02:47:17.593443
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:47:17.583402""}",2026-08-08T02:47:17.601497
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.4, ""ts"": ""2026-08-08T02:47:17.583402""}",2026-08-08T02:47:17.603516
